SL.NO.,HEADS CRIME,MAJOR HEADS,MINOR HEADS,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,
426,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Enforcement Official,0,0,0,0,,,,,,
427,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Govt. Official,4,0,1,0,,,,,,
428,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Para Military Personnel,0,0,0,0,,,,,,
429,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Police Personnel,4,0,0,0,,,,,,
430,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Public Sector Undertaking Official,0,0,0,0,,,,,,
431,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Others,1,0,0,1,,,,,,
432,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Death Causeed By Electric Shock,75,5,9,4,,,,,,
433,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Animal -Related,59,6,5,5,,,,,,
434,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Boat/Vessel - Related,7,0,1,1,,,,,,
435,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Explosive/Explosive Substances - Related,65,51,26,6,,,,,,
436,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Inflammable Substance- Related ,28,1,4,2,,,,,,
437,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Machinery - Related,117,10,12,15,,,,,,
438,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Poisonous Substance - Related,6,1,0,0,,,,,,
439,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Other - Related,1390,79,81,82,,,,,,
440,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Human - Related,694,67,46,53,,,,,,
441,A - IPC Crime,RECEIVING OF STOLEN PROPERTY (Sec.411 to 414 IPC),NA,1,0,0,0,,,,,,
442,A - IPC Crime,SEDITION (Sec. 124A IPC),Attempt to Commit,0,0,0,0,,,,,,
443,A - IPC Crime,SEDITION (Sec. 124A IPC),By Foreigner,0,0,0,0,,,,,,
444,A - IPC Crime,SEDITION (Sec. 124A IPC),By National,0,0,0,0,,,,,,
445,A - IPC Crime,SEDITION (Sec. 124A IPC),By National And Foreigner,0,0,0,0,,,,,,
446,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Attempt to Commit,2,0,0,0,,,,,,
447,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Office,8,0,2,0,,,,,,
448,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Public Conveyance,2,0,0,0,,,,,,
449,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Public Place,62,4,5,7,,,,,,
450,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Other Places,87,5,14,8,,,,,,
451,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Dowry,4,0,0,0,,,,,,
452,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Abetment of Suicide,298,21,25,37,,,,,,
453,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Other Reasons,251,28,17,25,,,,,,
454,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Attempt to Commit suicide,87,9,5,7,,,,,,
455,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Abetment  ,0,0,0,0,,,,,,
456,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Animal  ,0,0,0,0,,,,,,
457,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Attempt,0,0,0,0,,,,,,
458,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Major - Man,4,0,1,0,,,,,,
459,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Major - Woman,1,0,0,0,,,,,,
460,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Minor - Boy,0,0,0,0,,,,,,
461,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Minor - Girl,0,0,0,0,,,,,,
462,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),Attempt to Commit,22,3,2,0,,,,,,
463,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),To Extort Confession,7,1,1,1,,,,,,
464,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),To Extort Property,21,0,4,0,,,,,,
465,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),To settle Dispute,15,3,2,2,,,,,,
466,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),Others,326,32,30,24,,,,,,
467,A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC)",Male,1,0,1,0,,,,,,
468,A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC)",Female,1,0,0,0,,,,,,
469,A - IPC Crime,OFFENCES RELATED TO MARRIAGE (Sec.493 to 498 IPC),NA,35,1,3,6,,,,,,
470,A - IPC Crime,"BUYING & SELLING MINOR FOR PROSTITUTION (Sec.372, 373 IPC)",NA,0,0,0,0,,,,,,
471,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Documents  ,1,0,0,0,,,,,,
472,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Property  ,1,0,0,0,,,,,,
473,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Persons ,6,1,0,1,,,,,,
474,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Printed Matter,2,0,0,0,,,,,,
475,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Others,2,0,0,0,,,,,,
476,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Sub Total,10,1,0,1,,,,,,
477,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),ELECTION(Sec.171(E) to 171(1) IPC),,,,,,,,,,
478,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Assembly,16,0,3,7,,,,,,
479,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Parliament,153,0,0,0,,,,,,
480,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Other Elected Bodies,13,0,0,0,,,,,,
481,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Man,1,0,0,1,,,,,,
482,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Woman,0,0,0,0,,,,,,
483,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Boy,3,0,0,3,,,,,,
484,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Girl,0,1,0,0,,,,,,
485,A - IPC Crime,Attempting to commit offences (Sec.511 IPC),Attempting to commit offences,207,11,18,20,,,,,,
486,A - IPC Crime,ILLEGAL DETENTION (Sec.342 IPC),NA,0,0,0,0,,,,,,
487,A - IPC Crime,FALSE EVIDENCE (Sec.191 to 205 IPC),NA,7,1,2,1,,,,,,
488,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC),Boy ,29,0,4,1,,,,,,
489,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC),Girl,28,5,4,4,,,,,,
490,A - IPC Crime,OF ABETMENT (Sec.107 to 120 IPC),NA,9,0,1,0,,,,,,
491,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174, 229A IPC)",174 A,91,12,12,14,,,,,,
492,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174, 229A IPC)",229 A,391,44,72,69,,,,,,
493,A - IPC Crime,Concealment of birth by secret disposal of Child,Girl,11,2,1,1,,,,,,
494,A - IPC Crime,Concealment of birth by secret disposal of Child,Boy,29,2,2,3,,,,,,
495,A - IPC Crime,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN,NA,11,2,2,1,,,,,,
496,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Others,13,0,1,0,,,,,,
497,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Private Institution,12,2,0,0,,,,,,
498,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Govt. Institution,1,0,1,0,,,,,,
499,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,Sub Total,26,2,2,0,,,,,,
500,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,Human Trafficking,,,,,,,,,,
501,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,Eunuch,7,0,1,0,,,,,,
502,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,Men,0,0,0,0,,,,,,
503,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,Boy,1,0,0,0,,,,,,
504,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,Women,4,0,1,1,,,,,,
505,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,Girl,2,0,0,0,,,,,,
506,A - IPC Crime,Aadhaar Act,Impersonation,1,0,0,0,,,,,,
507,A - IPC Crime,Aadhaar Act,Offence by Company,0,0,0,0,,,,,,
508,A - IPC Crime,Aadhaar Act,Offence by individual,1,0,0,1,,,,,,
509,A - IPC Crime,Giving false information respecting an offence com,Giving false information respecting an offence committed,3,0,1,0,,,,,,
510,B - SPECIAL & LOCAL LAWS,,ANTIQUES (CULTURAL PROPERTY),,,,,,,,,,
511,B - SPECIAL & LOCAL LAWS,B - SPECIAL & LOCAL LAWS,Antiques & Art Treasures Act 1972,0,0,0,0,,,,,,
512,B - SPECIAL & LOCAL LAWS,B - SPECIAL & LOCAL LAWS,Ancient Monument & Archaelogical Sites And Remains Act 1958,4,0,0,0,,,,,,
513,B - SPECIAL & LOCAL LAWS,ARMS ACT 1959,Country Made - Non Prohibited Bore - In Disturbed Area,18,2,0,0,,,,,,
514,B - SPECIAL & LOCAL LAWS,ARMS ACT 1960,Country Made - Non Prohibited Bore - In Other Area,94,15,2,5,,,,,,
515,B - SPECIAL & LOCAL LAWS,ARMS ACT 1961,Country Made - Prohibited Bore - In Disturbed Area,15,1,4,2,,,,,,
516,B - SPECIAL & LOCAL LAWS,ARMS ACT 1962,Country Made - Prohibited Bore - In Other Area,72,9,8,5,,,,,,
517,B - SPECIAL & LOCAL LAWS,ARMS ACT 1963,Factory Made - Non Prohibited Bore - In Disturbed Area,5,0,1,1,,,,,,
518,B - SPECIAL & LOCAL LAWS,ARMS ACT 1964,Factory Made - Non Prohibited Bore - In Other Area,25,0,1,4,,,,,,
519,B - SPECIAL & LOCAL LAWS,ARMS ACT 1965,Factory Made - Prohibited Bore - In Disturbed Area,3,0,0,0,,,,,,
520,B - SPECIAL & LOCAL LAWS,ARMS ACT 1966,Factory Made - Prohibited Bore - In Other Area,29,2,1,4,,,,,,
521,B - SPECIAL & LOCAL LAWS,ANIMAL,The Karnataka Prevention of Slaughter and Preservation of Cattle Ordinance 2020,135,12,13,10,,,,,,
522,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Preservation Act 1972,0,0,0,0,,,,,,
523,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Protection Act 1972,2,0,0,0,,,,,,
524,B - SPECIAL & LOCAL LAWS,ANIMAL,Prevention of Cruelty to Animals Act 1960,152,10,12,16,,,,,,
525,B - SPECIAL & LOCAL LAWS,ANIMAL,Elephant (Preservation) Act 1879,0,0,0,0,,,,,,
526,B - SPECIAL & LOCAL LAWS,ANIMAL,Cattle Tresspass Act 1871,3,0,0,0,,,,,,
527,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1952,Films,2,0,0,0,,,,,,
528,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1953,Video,0,0,0,0,,,,,,
529,B - SPECIAL & LOCAL LAWS,CONSUMER,Liquified Petroleum Gas Supply & Control Order 2000 ,64,4,5,6,,,,,,
530,B - SPECIAL & LOCAL LAWS,CONSUMER,Consumer (Protection) Act 1986,7,0,0,0,,,,,,
531,B - SPECIAL & LOCAL LAWS,CONSUMER,Essential Commodities Act 1955,408,37,24,31,,,,,,
532,B - SPECIAL & LOCAL LAWS,CONSUMER,Prevention of Food Adulternation Act 1954,3,0,0,0,,,,,,
533,B - SPECIAL & LOCAL LAWS,CONSUMER,Packaged Commodities (Regulation) order 1975,0,0,0,0,,,,,,
534,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1957,By Company,136,9,8,14,,,,,,
535,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1958,By Individual,78,6,5,11,,,,,,
536,B - SPECIAL & LOCAL LAWS,CIVIL RIGHTS,Protection of Civil Rights Act 1955,3,0,2,1,,,,,,
537,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste  ,1183,106,97,98,,,,,,
538,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes,227,21,23,17,,,,,,
539,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste Women,455,29,35,35,,,,,,
540,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes Women,98,8,9,1,,,,,,
541,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Labour (Prohibition & Regulation) Act1986,102,6,1,11,,,,,,
542,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Marriage (Restraint) Act - 1929,142,9,8,11,,,,,,
543,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Juvenile Justice Act 1986,129,12,9,8,,,,,,
544,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Probation of offenders Act 1958,1,0,0,0,,,,,,
545,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Protection of Children from Sexual Offences Act 2012 (POCSO),0,0,0,0,,,,,,
546,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Elected,0,0,0,0,,,,,,
547,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1989,Public Servant - Gazetted - Central,0,0,0,0,,,,,,
548,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1990,Public Servant - Gazetted - Defence,0,0,0,0,,,,,,
549,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1991,Public Servant - Gazetted - Public Sector Undertaking,0,0,0,0,,,,,,
550,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1992,Public Servant - Gazetted - State,0,0,0,0,,,,,,
551,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1993,Public Servant - Non-Gazetted - Central,0,0,0,0,,,,,,
552,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1994,Public Servant - Non-Gazetted - Defence,0,0,0,0,,,,,,
553,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1995,Public Servant - Non-Gazetted - State,0,0,0,0,,,,,,
554,B - SPECIAL & LOCAL LAWS,CUSTOMS,Customs Act 1962,0,0,0,0,,,,,,
555,B - SPECIAL & LOCAL LAWS,CUSTOMS,Import/Export (Control) Act 1947,0,0,0,0,,,,,,
556,B - SPECIAL & LOCAL LAWS,CUSTOMS,Sub Total,0,0,0,0,,,,,,
557,B - SPECIAL & LOCAL LAWS,CUSTOMS,Explosives,,,,,,,,,,
558,B - SPECIAL & LOCAL LAWS,CUSTOMS,Explosives Substances Act 1908,26,3,4,3,,,,,,
559,B - SPECIAL & LOCAL LAWS,CUSTOMS,Explosives Act 1884,110,29,56,13,,,,,,
560,B - SPECIAL & LOCAL LAWS,CUSTOMS,Inflammable Substance Act 1952,0,0,0,0,,,,,,
561,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Smugglers and Foreign Exchange Manipulator Act 1976,0,0,0,0,,,,,,
562,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1973,0,0,0,0,,,,,,
563,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1952,0,0,0,0,,,,,,
564,B - SPECIAL & LOCAL LAWS,FOREIGNER,Foreigners Act 1946,54,0,5,3,,,,,,
565,B - SPECIAL & LOCAL LAWS,FOREIGNER,Registration of Foreigners Act 1939,0,0,0,0,,,,,,
566,B - SPECIAL & LOCAL LAWS,FOREST,Indian Forest Act 1927,2,0,0,0,,,,,,
567,B - SPECIAL & LOCAL LAWS,FOREST,Forest (Conservation) Act 1980,9,1,0,2,,,,,,
568,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - In India,0,0,0,0,,,,,,
569,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - Outside India,0,0,0,0,,,,,,
570,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - In India,0,0,0,0,,,,,,
571,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - Outside India,0,0,0,0,,,,,,
572,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Organised,206,22,21,22,,,,,,
573,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Un-Organised,75,17,6,8,,,,,,
574,B - SPECIAL & LOCAL LAWS,BONDED LABOUR SYSTEM,NA,4,0,0,1,,,,,,
575,B - SPECIAL & LOCAL LAWS,INDIAN MOTOR VEHICLE,NA,304,4,6,3,,,,,,
576,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Cultivated/Processed,1428,103,111,186,,,,,,
577,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Synthetic,2108,208,163,238,,,,,,
578,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Sub Total,3536,311,274,424,,,,,,
579,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,PASSPORT ACT,,,,,,,,,,
580,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Foreigner,3,1,0,0,,,,,,
581,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Indian,1,0,0,0,,,,,,
582,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Assembly,19,0,2,12,,,,,,
583,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1989,Parliament,104,0,0,0,,,,,,
584,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1990,Other Elected Bodies,10,0,0,0,,,,,,
585,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),4830,429,408,752,,,,,,
586,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1964,Street Gambling (87),5818,1081,458,957,,,,,,
587,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1965,House Gambling (79 & 80),244,24,29,21,,,,,,
588,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1966,Betting ,416,76,9,8,,,,,,
589,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1967,Others ,497,251,34,22,,,,,,
590,B - SPECIAL & LOCAL LAWS,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,NA,146,9,9,10,,,,,,
591,B - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",NA,2,0,0,0,,,,,,
592,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Official Secrets Act 1923,0,0,0,0,,,,,,
593,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Essential Services Maintenance Act 1981,0,0,0,0,,,,,,
594,B - SPECIAL & LOCAL LAWS,PREVENTION OF TERRORISM ACT (POTA),NA,0,0,0,0,,,,,,
595,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Indian Railways Act 1989,1,1,0,0,,,,,,
596,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Railway Property (Unlawful Possession) Act 1966,0,0,0,0,,,,,,
597,B - SPECIAL & LOCAL LAWS,UNLAWFUL ACTIVITIES (Prevention) Act 1967,NA,7,0,0,2,,,,,,
598,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Dowry Prohibition,1756,164,129,123,,,,,,
599,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Commission of SATI (Prevention) Act 1987,0,0,0,0,,,,,,
600,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Indecent Representation of Women (Prohibition) Act 1986,1,0,0,0,,,,,,
601,B - SPECIAL & LOCAL LAWS,INDIAN LUNACY ACT,NA,0,0,0,0,,,,,,
602,B - SPECIAL & LOCAL LAWS,INDIAN ELECTRICITY ACT,NA,7,1,0,1,,,,,,
603,B - SPECIAL & LOCAL LAWS,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",NA,931,77,45,147,,,,,,
604,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Banning of Unregulated Deposit Schemes Act,18,0,3,1,,,,,,
605,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Disaster Management Act 2005,1,0,0,0,,,,,,
606,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Cow Slaughters Act,221,14,16,10,,,,,,
607,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,177,6,21,6,,,,,,
608,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Epidemic Deseases Act 2020,0,0,0,0,,,,,,
609,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Motor Spirit and High Speed Diesel (Regulation of upply, Distribution and Prevention of Malpractice",0,0,0,0,,,,,,
610,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Prevention of Insult to National Hounours Act 1971,10,1,2,1,,,,,,
611,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Prevention of violence against Doctors, Medical professionals and Medical institutions",11,0,2,2,,,,,,
612,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"The Karnataka Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Gamblers, Goonda Act",0,0,0,0,,,,,,
613,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Excise Act 1965,6778,422,572,872,,,,,,
614,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Forest Act 1963,59,10,3,5,,,,,,
615,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Education Act 1983 As Amended Upto Date,7,0,0,1,,,,,,
616,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Restriction Unuse Act 1956,0,0,0,0,,,,,,
617,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka University Act,0,0,0,0,,,,,,
618,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Corruption Act,1,0,0,0,,,,,,
619,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Medical Registration Act 1965,1,0,0,0,,,,,,
620,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land & Revenue Act 1964 & 2007,30,3,4,4,,,,,,
621,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Dealers License Order 1969,0,0,0,0,,,,,,
622,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Society Registration Act,0,0,0,0,,,,,,
623,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Minor Mineral Consistent Rule 1994,34,3,2,1,,,,,,
624,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Bangalore Development Authority Act,0,0,0,0,,,,,,
625,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Beggery Act 1975,30,1,0,13,,,,,,
626,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Municipalities Act 1964,0,1,0,0,,7,,,,
627,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Irrigation Act 1963,2,1,0,0,,1,,,,
628,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Fire Force act 1964,5,0,0,2,,0,,,,
629,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Consumer Protection Act 1986,0,0,0,0,,2,,,,
630,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Lottery Act,53,8,3,13,,8,,,,
631,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Weight & Measurement Act,0,0,0,0,,60,,,,
632,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Agriculture Marketing Regulation Act,0,1,0,0,,0,,,,
633,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Revenue Act,2,0,0,0,,0,,,,
634,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Mining Act,1,0,0,1,,65,,,,
635,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Betting Tax Act,0,0,0,0,,3,,,,
636,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Panchayat Raj Act,0,0,0,0,,1,,,,
637,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Open Place Disfigurement Act 1951,609,10,15,6,,1,,,,
638,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Right To Information Act 2000 & 2008,0,0,0,0,,2,,,,
